id,order_id,category_id,row,column,updated_at
1,,1,1,1,2024-06-23 12:47:44.158326
2,,1,1,2,2024-06-23 12:47:44.158326
3,,1,1,3,2024-06-23 12:47:44.158326
4,,1,1,4,2024-06-23 12:47:44.158326
5,,1,1,5,2024-06-23 12:47:44.158326
6,,1,1,6,2024-06-23 12:47:44.158326
7,,1,1,7,2024-06-23 12:47:44.158326
8,,1,1,8,2024-06-23 12:47:44.158326
9,,1,1,9,2024-06-23 12:47:44.158326
10,,1,1,10,2024-06-23 12:47:44.158326
11,,1,1,11,2024-06-23 12:47:44.158326
12,,1,1,12,2024-06-23 12:47:44.158326
13,,1,1,13,2024-06-23 12:47:44.158326
14,,1,1,14,2024-06-23 12:47:44.158326
15,,1,1,15,2024-06-23 12:47:44.158326
16,,1,1,16,2024-06-23 12:47:44.158326
17,,1,1,17,2024-06-23 12:47:44.158326
18,,1,1,18,2024-06-23 12:47:44.158326
19,,1,1,19,2024-06-23 12:47:44.158326
20,,1,1,20,2024-06-23 12:47:44.158326
21,,1,1,21,2024-06-23 12:47:44.158326
22,,1,1,22,2024-06-23 12:47:44.158326
23,,1,1,23,2024-06-23 12:47:44.158326
24,,1,1,24,2024-06-23 12:47:44.158326
25,,1,1,25,2024-06-23 12:47:44.158326
26,,1,1,26,2024-06-23 12:47:44.158326
27,,1,1,27,2024-06-23 12:47:44.158326
28,,1,1,28,2024-06-23 12:47:44.158326
29,,1,1,29,2024-06-23 12:47:44.158326
30,,1,1,30,2024-06-23 12:47:44.158326
31,,1,1,31,2024-06-23 12:47:44.158326
32,,1,1,32,2024-06-23 12:47:44.158326
33,,1,1,33,2024-06-23 12:47:44.158326
34,,1,1,34,2024-06-23 12:47:44.158326
35,,1,1,35,2024-06-23 12:47:44.158326
36,,1,1,36,2024-06-23 12:47:44.158326
37,,1,1,37,2024-06-23 12:47:44.158326
38,,1,1,38,2024-06-23 12:47:44.158326
39,,1,1,39,2024-06-23 12:47:44.158326
40,,1,1,40,2024-06-23 12:47:44.158326
41,,1,1,41,2024-06-23 12:47:44.158326
42,,1,1,42,2024-06-23 12:47:44.158326
43,,1,1,43,2024-06-23 12:47:44.158326
44,,1,1,44,2024-06-23 12:47:44.158326
45,,1,1,45,2024-06-23 12:47:44.158326
46,,1,1,46,2024-06-23 12:47:44.158326
47,,1,1,47,2024-06-23 12:47:44.158326
48,,1,1,48,2024-06-23 12:47:44.158326
49,,1,1,49,2024-06-23 12:47:44.158326
50,,1,1,50,2024-06-23 12:47:44.158326
51,,1,1,51,2024-06-23 12:47:44.158326
52,,1,1,52,2024-06-23 12:47:44.158326
53,,1,1,53,2024-06-23 12:47:44.158326
54,,1,1,54,2024-06-23 12:47:44.158326
55,,1,1,55,2024-06-23 12:47:44.158326
56,,1,1,56,2024-06-23 12:47:44.158326
57,,1,1,57,2024-06-23 12:47:44.158326
58,,1,1,58,2024-06-23 12:47:44.158326
59,,1,1,59,2024-06-23 12:47:44.158326
60,,1,1,60,2024-06-23 12:47:44.158326
61,,1,1,61,2024-06-23 12:47:44.158326
62,,1,1,62,2024-06-23 12:47:44.158326
63,,1,1,63,2024-06-23 12:47:44.158326
64,,1,1,64,2024-06-23 12:47:44.158326
65,,1,1,65,2024-06-23 12:47:44.158326
66,,1,1,66,2024-06-23 12:47:44.158326
67,,1,1,67,2024-06-23 12:47:44.158326
68,,1,1,68,2024-06-23 12:47:44.158326
69,,1,1,69,2024-06-23 12:47:44.158326
70,,1,1,70,2024-06-23 12:47:44.158326
71,,1,1,71,2024-06-23 12:47:44.158326
72,,1,1,72,2024-06-23 12:47:44.158326
73,,1,1,73,2024-06-23 12:47:44.158326
74,,1,1,74,2024-06-23 12:47:44.158326
75,,1,1,75,2024-06-23 12:47:44.158326
76,,1,1,76,2024-06-23 12:47:44.158326
77,,1,1,77,2024-06-23 12:47:44.158326
78,,1,1,78,2024-06-23 12:47:44.158326
79,,1,1,79,2024-06-23 12:47:44.158326
80,,1,1,80,2024-06-23 12:47:44.158326
81,,1,1,81,2024-06-23 12:47:44.158326
82,,1,1,82,2024-06-23 12:47:44.158326
83,,1,1,83,2024-06-23 12:47:44.158326
84,,1,1,84,2024-06-23 12:47:44.158326
85,,1,1,85,2024-06-23 12:47:44.158326
86,,1,1,86,2024-06-23 12:47:44.158326
87,,1,1,87,2024-06-23 12:47:44.158326
88,,1,1,88,2024-06-23 12:47:44.158326
89,,1,1,89,2024-06-23 12:47:44.158326
90,,1,1,90,2024-06-23 12:47:44.158326
91,,1,1,91,2024-06-23 12:47:44.158326
92,,1,1,92,2024-06-23 12:47:44.158326
93,,1,1,93,2024-06-23 12:47:44.158326
94,,1,1,94,2024-06-23 12:47:44.158326
95,,1,1,95,2024-06-23 12:47:44.158326
96,,1,1,96,2024-06-23 12:47:44.158326
97,,1,1,97,2024-06-23 12:47:44.158326
98,,1,1,98,2024-06-23 12:47:44.158326
99,,1,1,99,2024-06-23 12:47:44.158326
100,,1,1,100,2024-06-23 12:47:44.158326
101,,1,2,1,2024-06-23 12:47:44.158326
102,,1,2,2,2024-06-23 12:47:44.158326
103,,1,2,3,2024-06-23 12:47:44.158326
104,,1,2,4,2024-06-23 12:47:44.158326
105,,1,2,5,2024-06-23 12:47:44.158326
106,,1,2,6,2024-06-23 12:47:44.158326
107,,1,2,7,2024-06-23 12:47:44.158326
108,,1,2,8,2024-06-23 12:47:44.158326
109,,1,2,9,2024-06-23 12:47:44.158326
110,,1,2,10,2024-06-23 12:47:44.158326
111,,1,2,11,2024-06-23 12:47:44.158326
112,,1,2,12,2024-06-23 12:47:44.158326
113,,1,2,13,2024-06-23 12:47:44.158326
114,,1,2,14,2024-06-23 12:47:44.158326
115,,1,2,15,2024-06-23 12:47:44.158326
116,,1,2,16,2024-06-23 12:47:44.158326
117,,1,2,17,2024-06-23 12:47:44.158326
118,,1,2,18,2024-06-23 12:47:44.158326
